Controller_Time_GMT,Controller_Time_GMT,Temp_degC_Ground,Temp_degC_ISS,RH_percent_Ground,RH_percent_ISS,CO2_ppm_Ground,CO2_ppm_ISS
3:59:00 AM,20.09.14,24.1,24.1,37,39,484,2641
4:04:00 AM,20.09.14,24.1,24.1,42,39,480,2642
4:09:00 AM,20.09.14,23.9,24,38,39,472,2652
4:14:00 AM,20.09.14,24,24,37,39,466,2642
4:19:00 AM,20.09.14,23.9,24,43,39,476,2642
4:24:00 AM,20.09.14,24.1,24,37,39,484,2631
4:29:00 AM,20.09.14,23.9,24,37,39,482,2642
4:34:00 AM,20.09.14,23.9,24,42,39,466,2631
4:39:00 AM,20.09.14,24,24,37,39,492,2631
4:44:00 AM,20.09.14,23.9,24,36,39,464,2631
4:49:00 AM,20.09.14,24.1,24,41,38,466,2631
4:54:00 AM,20.09.14,23.9,23.9,37,38,466,2642
4:59:00 AM,20.09.14,23.9,23.9,37,38,466,2642
5:04:00 AM,20.09.14,23.9,23.9,37,38,470,2642
5:09:00 AM,20.09.14,23.8,23.9,42,38,464,2652
5:14:00 AM,20.09.14,23.9,23.9,38,38,480,2631
5:19:00 AM,20.09.14,23.9,23.9,36,38,462,2642
5:24:00 AM,20.09.14,24,23.9,40,38,470,2631
5:29:00 AM,20.09.14,23.9,23.9,39,38,478,2631
5:34:00 AM,20.09.14,23.7,23.8,37,38,470,2642
5:39:00 AM,20.09.14,23.8,23.8,37,38,478,2642
5:44:00 AM,20.09.14,23.7,23.8,42,38,470,2642
5:49:00 AM,20.09.14,23.9,23.8,38,38,482,2631
5:54:00 AM,20.09.14,23.8,23.8,37,38,482,2652
5:59:00 AM,20.09.14,23.7,23.8,37,38,462,2652
6:04:00 AM,20.09.14,23.7,23.8,42,38,476,2642
6:09:00 AM,20.09.14,23.8,23.8,38,38,476,2642
6:14:00 AM,20.09.14,23.7,23.8,37,38,470,2642
6:19:00 AM,20.09.14,23.8,23.8,37,38,470,2642
6:24:00 AM,20.09.14,23.9,23.8,40,38,466,2642
6:29:00 AM,20.09.14,23.9,23.8,37,38,474,2631
6:34:00 AM,20.09.14,23.8,23.8,37,38,478,2642
